,Cmd,Ct_err,Cc_err,CD,SP
"('M0M1_0.012_0.018_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,1.273104225,0.506485361,210,127
"('M0M1_0.012_0.018_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,6.784163494,3.313985771,210,127
"('M0M1_0.012_0.018_BAB', (0, 0, 0, 0, 0, False))",,0.905726948,0.674282518,136,127
"('M0M1_0.012_0.018_BAB', (10, 0, 0, 0, 0, False))",,8.451873844,3.431005551,136,127
"('M0M1_0.012_0.018_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,0.387120613,0.830053621,136,127
"('M0M1_0.012_0.018_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,8.396349637,3.847145361,136,127
"('M0M1_0.012_0.018_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,0.387120613,0.830053621,136,127
"('M0M1_0.012_0.018_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,8.396349637,3.847145361,136,127
"('M0M1_0.012_0.018_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,0.387120613,0.830053621,136,127
"('M0M1_0.012_0.018_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,8.396349637,3.847145361,136,127
"('M0M1_0.012_0.01_ABA', (0, 0, 0, 0, 0, False))",,0.08750117,-0.076919633,110,110
"('M0M1_0.012_0.01_ABA', (10, 0, 0, 0, 0, False))",,9.571814042,4.417384651,110,110
"('M0M1_0.012_0.01_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,0.424039197,0.509498152,110,110
"('M0M1_0.012_0.01_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,8.175166441,3.787052561,110,110
"('M0M1_0.012_0.01_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,0.424039197,0.509498152,110,110
"('M0M1_0.012_0.01_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,8.175166441,3.787052561,110,110
"('M0M1_0.012_0.01_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,0.424039197,0.509498152,110,110
"('M0M1_0.012_0.01_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,8.175166441,3.787052561,110,110
"('M0M1_0.012_0.01_BAB', (0, 0, 0, 0, 0, False))",,1.042688362,0.384598166,110,110
"('M0M1_0.012_0.01_BAB', (10, 0, 0, 0, 0, False))",,8.989422533,3.876098343,110,110
"('M0M1_0.012_0.01_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,0.397994563,1.15003337,110,110
"('M0M1_0.012_0.01_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,8.858024189,3.890417202,110,110
"('M0M1_0.012_0.01_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,0.397994563,1.15003337,110,110
"('M0M1_0.012_0.01_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,8.858024189,3.890417202,110,110
"('M0M1_0.012_0.01_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,0.397994563,1.15003337,110,110
"('M0M1_0.012_0.01_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,8.858024189,3.890417202,110,110
"('M0M1_0.012_0.02_ABA', (0, 0, 0, 0, 0, False))",,1.389514796,1.086325171,220,140
"('M0M1_0.012_0.02_ABA', (10, 0, 0, 0, 0, False))",,7.274715003,3.351025654,220,140
"('M0M1_0.012_0.02_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,1.430046378,0.820892416,220,140
"('M0M1_0.012_0.02_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,7.256392536,2.780576348,220,140
"('M0M1_0.012_0.02_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,1.430046378,0.820892416,220,140
"('M0M1_0.012_0.02_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,7.256392536,2.780576348,220,140
"('M0M1_0.012_0.02_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,1.430046378,0.820892416,220,140
"('M0M1_0.012_0.02_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,7.256392536,2.780576348,220,140
"('M0M1_0.012_0.02_BAB', (0, 0, 0, 0, 0, False))",,0.9951464,0.705604031,140,140
"('M0M1_0.012_0.02_BAB', (10, 0, 0, 0, 0, False))",,7.407960267,3.250148141,140,140
"('M0M1_0.012_0.02_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,1.056701845,0.385953355,140,140
"('M0M1_0.012_0.02_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,7.119427161,2.925286397,140,140
"('M0M1_0.012_0.02_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,1.056701845,0.385953355,140,140
"('M0M1_0.012_0.02_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,7.119427161,2.925286397,140,140
"('M0M1_0.012_0.02_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,1.056701845,0.385953355,140,140
"('M0M1_0.012_0.02_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,7.119427161,2.925286397,140,140
"('M0M1_0.012_0.032_AAA', (0, 0, 0, 0, 0, False))",,2.95943144,-100,122,318
"('M0M1_0.012_0.032_AAA', (10, 0, 0, 0, 0, False))",,7.264555028,-100,122,318
"('M0M1_0.012_0.032_AAA_SRM_1', (0, 0, 0, 0, 0, False))",,1.76213922,-100,110,330
"('M0M1_0.012_0.032_AAA_SRM_1', (10, 0, 0, 0, 0, False))",,6.356588061,-100,110,330
"('M0M1_0.012_0.032_AAA_SRM_2', (0, 0, 0, 0, 0, False))",,1.76213922,-100,110,330
"('M0M1_0.012_0.032_AAA_SRM_2', (10, 0, 0, 0, 0, False))",,6.356588061,-100,110,330
"('M0M1_0.012_0.032_AAA_SRM_3', (0, 0, 0, 0, 0, False))",,1.76213922,-100,110,330
