,Cmd,Ct_err,Cc_err,CD,SP
"('M0M1_0.016_0.012_ABA', (0, 0, 0, 0, 0, False))",,0.484677134,0.804513556,164,130
"('M0M1_0.016_0.012_ABA', (10, 0, 0, 0, 0, False))",,6.948721832,2.760808468,164,130
"('M0M1_0.016_0.012_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,0.987161415,0.581661335,164,130
"('M0M1_0.016_0.012_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,7.216956048,2.405736425,164,130
"('M0M1_0.016_0.012_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,0.987161415,0.581661335,164,130
"('M0M1_0.016_0.012_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,7.216956048,2.405736425,164,130
"('M0M1_0.016_0.012_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,0.987161415,0.581661335,164,130
"('M0M1_0.016_0.012_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,7.216956048,2.405736425,164,130
"('M0M1_0.016_0.012_BAB', (0, 0, 0, 0, 0, False))",,0.305168384,0.763916544,136,130
"('M0M1_0.016_0.012_BAB', (10, 0, 0, 0, 0, False))",,7.230975673,3.213574582,136,130
"('M0M1_0.016_0.012_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,0.674405173,0.329907025,136,130
"('M0M1_0.016_0.012_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,7.896142472,3.772413224,136,130
"('M0M1_0.016_0.012_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,0.674405173,0.329907025,136,130
"('M0M1_0.016_0.012_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,7.896142472,3.772413224,136,130
"('M0M1_0.016_0.012_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,0.674405173,0.329907025,136,130
"('M0M1_0.016_0.012_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,7.896142472,3.772413224,136,130
"('M0M1_0.016_0.014_ABA', (0, 0, 0, 0, 0, False))",,1.013668358,0.418030774,198,130
"('M0M1_0.016_0.014_ABA', (10, 0, 0, 0, 0, False))",,7.472581437,3.401538713,198,130
"('M0M1_0.016_0.014_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,1.702607875,0.833206804,198,130
"('M0M1_0.016_0.014_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,7.091121735,3.427785871,198,130
"('M0M1_0.016_0.014_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,1.702607875,0.833206804,198,130
"('M0M1_0.016_0.014_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,7.091121735,3.427785871,198,130
"('M0M1_0.016_0.014_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,1.702607875,0.833206804,198,130
"('M0M1_0.016_0.014_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,7.091121735,3.427785871,198,130
"('M0M1_0.016_0.014_BAB', (0, 0, 0, 0, 0, False))",,0.606000354,0.468245495,142,130
"('M0M1_0.016_0.014_BAB', (10, 0, 0, 0, 0, False))",,7.942840594,4.205694329,142,130
"('M0M1_0.016_0.014_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,1.817685258,0.555492938,142,130
"('M0M1_0.016_0.014_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,8.238757055,4.050668031,142,130
"('M0M1_0.016_0.014_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,1.817685258,0.555492938,142,130
"('M0M1_0.016_0.014_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,8.238757055,4.050668031,142,130
"('M0M1_0.016_0.014_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,1.817685258,0.555492938,142,130
"('M0M1_0.016_0.014_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,8.238757055,4.050668031,142,130
"('M0M1_0.016_0.016_ABA', (0, 0, 0, 0, 0, False))",,0.838585019,0.163012841,242,128
"('M0M1_0.016_0.016_ABA', (10, 0, 0, 0, 0, False))",,6.011997559,2.437222756,242,128
"('M0M1_0.016_0.016_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,0.895549202,0.230311978,242,128
"('M0M1_0.016_0.016_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,6.332505351,3.120947962,242,128
"('M0M1_0.016_0.016_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,0.895549202,0.230311978,242,128
"('M0M1_0.016_0.016_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,6.332505351,3.120947962,242,128
"('M0M1_0.016_0.016_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,0.895549202,0.230311978,242,128
"('M0M1_0.016_0.016_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,6.332505351,3.120947962,242,128
"('M0M1_0.016_0.016_BAB', (0, 0, 0, 0, 0, False))",,-0.046425058,0.328467931,142,128
"('M0M1_0.016_0.016_BAB', (10, 0, 0, 0, 0, False))",,7.419490858,3.492527269,142,128
"('M0M1_0.016_0.016_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,1.208419124,0.938868461,142,128
"('M0M1_0.016_0.016_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,7.248802496,3.589300161,142,128
"('M0M1_0.016_0.016_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,1.208419124,0.938868461,142,128
"('M0M1_0.016_0.016_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,7.248802496,3.589300161,142,128
"('M0M1_0.016_0.016_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,1.208419124,0.938868461,142,128
"('M0M1_0.016_0.016_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,7.248802496,3.589300161,142,128
"('M0M1_0.016_0.018_ABA', (0, 0, 0, 0, 0, False))",,0.933039991,0.308009224,272,126
"('M0M1_0.016_0.018_ABA', (10, 0, 0, 0, 0, False))",,7.196979737,3.438691623,272,126
"('M0M1_0.016_0.018_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,0.388674654,0.331422381,270,128
"('M0M1_0.016_0.018_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,6.979742384,3.078883028,270,128
"('M0M1_0.016_0.018_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,0.388674654,0.331422381,270,128
"('M0M1_0.016_0.018_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,6.979742384,3.078883028,270,128
"('M0M1_0.016_0.018_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,0.388674654,0.331422381,270,128
"('M0M1_0.016_0.018_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,6.979742384,3.078883028,270,128
"('M0M1_0.016_0.018_BAB', (0, 0, 0, 0, 0, False))",,1.062370193,0.418444626,156,126
"('M0M1_0.016_0.018_BAB', (10, 0, 0, 0, 0, False))",,7.698827281,3.643191306,156,126
"('M0M1_0.016_0.018_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,0.265486352,0.647905067,154,128
"('M0M1_0.016_0.018_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,8.101983961,3.751474337,154,128
"('M0M1_0.016_0.018_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,0.265486352,0.647905067,154,128
"('M0M1_0.016_0.018_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,8.101983961,3.751474337,154,128
"('M0M1_0.016_0.018_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,0.265486352,0.647905067,154,128
"('M0M1_0.016_0.018_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,8.101983961,3.751474337,154,128
"('M0M1_0.016_0.01_ABA', (0, 0, 0, 0, 0, False))",,0.947146764,0.425910231,130,130
"('M0M1_0.016_0.01_ABA', (10, 0, 0, 0, 0, False))",,7.510768989,3.181766551,130,130
"('M0M1_0.016_0.01_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,0.689755159,0.564852362,130,130
"('M0M1_0.016_0.01_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,8.091223415,3.241497779,130,130
"('M0M1_0.016_0.01_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,0.689755159,0.564852362,130,130
"('M0M1_0.016_0.01_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,8.091223415,3.241497779,130,130
"('M0M1_0.016_0.01_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,0.689755159,0.564852362,130,130
"('M0M1_0.016_0.01_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,8.091223415,3.241497779,130,130
"('M0M1_0.016_0.01_BAB', (0, 0, 0, 0, 0, False))",,0.793803353,0.513023268,130,130
"('M0M1_0.016_0.01_BAB', (10, 0, 0, 0, 0, False))",,7.328591775,3.413048607,130,130
"('M0M1_0.016_0.01_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,1.40411305,0.479138201,130,130
"('M0M1_0.016_0.01_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,8.172500297,3.768874908,130,130
"('M0M1_0.016_0.01_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,1.40411305,0.479138201,130,130
"('M0M1_0.016_0.01_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,8.172500297,3.768874908,130,130
"('M0M1_0.016_0.01_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,1.40411305,0.479138201,130,130
"('M0M1_0.016_0.01_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,8.172500297,3.768874908,130,130
"('M0M1_0.016_0.02_ABA', (0, 0, 0, 0, 0, False))",,1.060100915,0.759759368,272,146
"('M0M1_0.016_0.02_ABA', (10, 0, 0, 0, 0, False))",,5.752504544,2.229513275,272,146
"('M0M1_0.016_0.02_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,1.506988845,1.046138239,272,146
"('M0M1_0.016_0.02_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,7.787745285,3.249516283,272,146
"('M0M1_0.016_0.02_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,1.506988845,1.046138239,272,146
"('M0M1_0.016_0.02_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,7.787745285,3.249516283,272,146
"('M0M1_0.016_0.02_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,1.506988845,1.046138239,272,146
"('M0M1_0.016_0.02_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,7.787745285,3.249516283,272,146
"('M0M1_0.016_0.02_BAB', (0, 0, 0, 0, 0, False))",,1.529523197,0.929950104,156,146
"('M0M1_0.016_0.02_BAB', (10, 0, 0, 0, 0, False))",,7.026289671,3.352760166,156,146
"('M0M1_0.016_0.02_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,1.640381133,1.12333118,156,146
"('M0M1_0.016_0.02_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,8.412584294,4.031287824,156,146
"('M0M1_0.016_0.02_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,1.640381133,1.12333118,156,146
"('M0M1_0.016_0.02_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,8.412584294,4.031287824,156,146
"('M0M1_0.016_0.02_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,1.640381133,1.12333118,156,146
"('M0M1_0.016_0.02_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,8.412584294,4.031287824,156,146
"('M0M1_0.016_0.032_AAA', (0, 0, 0, 0, 0, False))",,2.292038606,-100,144,336
"('M0M1_0.016_0.032_AAA', (10, 0, 0, 0, 0, False))",,5.761976992,-100,144,336
"('M0M1_0.016_0.032_AAA_SRM_1', (0, 0, 0, 0, 0, False))",,2.071393483,-100,136,344
"('M0M1_0.016_0.032_AAA_SRM_1', (10, 0, 0, 0, 0, False))",,4.802548988,-100,136,344
"('M0M1_0.016_0.032_AAA_SRM_2', (0, 0, 0, 0, 0, False))",,2.071393483,-100,136,344
"('M0M1_0.016_0.032_AAA_SRM_2', (10, 0, 0, 0, 0, False))",,4.802548988,-100,136,344
"('M0M1_0.016_0.032_AAA_SRM_3', (0, 0, 0, 0, 0, False))",,2.071393483,-100,136,344
"('M0M1_0.016_0.032_AAA_SRM_3', (10, 0, 0, 0, 0, False))",,4.802548988,-100,136,344
"('M0M1_0.016_0.032_ABA', (0, 0, 0, 0, 0, False))",,2.088448859,-100,276,259
"('M0M1_0.016_0.032_ABA', (10, 0, 0, 0, 0, False))",,5.58497074,-100,276,259
"('M0M1_0.016_0.032_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,1.314069487,-100,272,263
"('M0M1_0.016_0.032_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,5.57698923,-100,272,263
"('M0M1_0.016_0.032_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,1.314069487,-100,272,263
"('M0M1_0.016_0.032_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,5.57698923,-100,272,263
"('M0M1_0.016_0.032_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,1.314069487,-100,272,263
"('M0M1_0.016_0.032_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,5.57698923,-100,272,263
"('M0M1_0.016_0.032_BAB', (0, 0, 0, 0, 0, False))",,2.685108399,-100,166,259
"('M0M1_0.016_0.032_BAB', (10, 0, 0, 0, 0, False))",,6.716621253,-100,166,259
"('M0M1_0.016_0.032_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,2.475991649,-100,162,263
"('M0M1_0.016_0.032_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,6.817178646,-100,162,263
"('M0M1_0.016_0.032_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,2.475991649,-100,162,263
"('M0M1_0.016_0.032_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,6.817178646,-100,162,263
"('M0M1_0.016_0.032_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,2.475991649,-100,162,263
"('M0M1_0.016_0.032_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,6.817178646,-100,162,263
"('M0M1_0.016_0.032_BBB', (0, 0, 0, 0, 0, False))",,2.010020974,-100,202,278
"('M0M1_0.016_0.032_BBB', (10, 0, 0, 0, 0, False))",,6.159986017,-100,202,278
"('M0M1_0.016_0.032_BBB_SRM_1', (0, 0, 0, 0, 0, False))",,2.434935053,-100,198,282
"('M0M1_0.016_0.032_BBB_SRM_1', (10, 0, 0, 0, 0, False))",,6.514142508,-100,198,282
"('M0M1_0.016_0.032_BBB_SRM_2', (0, 0, 0, 0, 0, False))",,2.434935053,-100,198,282
"('M0M1_0.016_0.032_BBB_SRM_2', (10, 0, 0, 0, 0, False))",,6.514142508,-100,198,282
"('M0M1_0.016_0.032_BBB_SRM_3', (0, 0, 0, 0, 0, False))",,2.434935053,-100,198,282
"('M0M1_0.016_0.032_BBB_SRM_3', (10, 0, 0, 0, 0, False))",,6.514142508,-100,198,282
"('M0M1_0.016_0.034_AAA', (0, 0, 0, 0, 0, False))",,2.583838398,-100,144,356
"('M0M1_0.016_0.034_AAA', (10, 0, 0, 0, 0, False))",,6.231209223,-100,144,356
"('M0M1_0.016_0.034_AAA_SRM_1', (0, 0, 0, 0, 0, False))",,1.641548003,-100,136,364
"('M0M1_0.016_0.034_AAA_SRM_1', (10, 0, 0, 0, 0, False))",,6.299414475,-100,136,364
"('M0M1_0.016_0.034_AAA_SRM_2', (0, 0, 0, 0, 0, False))",,1.641548003,-100,136,364
"('M0M1_0.016_0.034_AAA_SRM_2', (10, 0, 0, 0, 0, False))",,6.299414475,-100,136,364
"('M0M1_0.016_0.034_AAA_SRM_3', (0, 0, 0, 0, 0, False))",,1.641548003,-100,136,364
"('M0M1_0.016_0.034_AAA_SRM_3', (10, 0, 0, 0, 0, False))",,6.299414475,-100,136,364
"('M0M1_0.016_0.034_ABA', (0, 0, 0, 0, 0, False))",,1.920038821,-100,276,279
"('M0M1_0.016_0.034_ABA', (10, 0, 0, 0, 0, False))",,4.736203596,-100,276,279
"('M0M1_0.016_0.034_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,1.846178915,-100,272,283
"('M0M1_0.016_0.034_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,5.524414752,-100,272,283
"('M0M1_0.016_0.034_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,1.846178915,-100,272,283
"('M0M1_0.016_0.034_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,5.524414752,-100,272,283
"('M0M1_0.016_0.034_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,1.846178915,-100,272,283
"('M0M1_0.016_0.034_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,5.524414752,-100,272,283
"('M0M1_0.016_0.034_BAB', (0, 0, 0, 0, 0, False))",,2.705877341,-100,166,279
"('M0M1_0.016_0.034_BAB', (10, 0, 0, 0, 0, False))",,6.257721732,-100,166,279
"('M0M1_0.016_0.034_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,2.086490267,-100,162,283
"('M0M1_0.016_0.034_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,6.126956276,-100,162,283
"('M0M1_0.016_0.034_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,2.086490267,-100,162,283
"('M0M1_0.016_0.034_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,6.126956276,-100,162,283
"('M0M1_0.016_0.034_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,2.086490267,-100,162,283
"('M0M1_0.016_0.034_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,6.126956276,-100,162,283
"('M0M1_0.016_0.034_BBB', (0, 0, 0, 0, 0, False))",,3.1824936,-100,204,296
"('M0M1_0.016_0.034_BBB', (10, 0, 0, 0, 0, False))",,5.456726322,-100,204,296
"('M0M1_0.016_0.034_BBB_SRM_1', (0, 0, 0, 0, 0, False))",,2.431114406,-100,198,302
"('M0M1_0.016_0.034_BBB_SRM_1', (10, 0, 0, 0, 0, False))",,5.471062324,-100,198,302
"('M0M1_0.016_0.034_BBB_SRM_2', (0, 0, 0, 0, 0, False))",,2.431114406,-100,198,302
"('M0M1_0.016_0.034_BBB_SRM_2', (10, 0, 0, 0, 0, False))",,5.471062324,-100,198,302
"('M0M1_0.016_0.034_BBB_SRM_3', (0, 0, 0, 0, 0, False))",,2.431114406,-100,198,302
"('M0M1_0.016_0.034_BBB_SRM_3', (10, 0, 0, 0, 0, False))",,5.471062324,-100,198,302
"('M0M1_0.016_0.036_AAA', (0, 0, 0, 0, 0, False))",,1.661021635,-100,146,374
"('M0M1_0.016_0.036_AAA', (10, 0, 0, 0, 0, False))",,5.948710859,-100,146,374
"('M0M1_0.016_0.036_AAA_SRM_1', (0, 0, 0, 0, 0, False))",,1.920497714,-100,138,382
"('M0M1_0.016_0.036_AAA_SRM_1', (10, 0, 0, 0, 0, False))",,5.757279985,-100,138,382
"('M0M1_0.016_0.036_AAA_SRM_2', (0, 0, 0, 0, 0, False))",,1.920497714,-100,138,382
"('M0M1_0.016_0.036_AAA_SRM_2', (10, 0, 0, 0, 0, False))",,5.757279985,-100,138,382
"('M0M1_0.016_0.036_AAA_SRM_3', (0, 0, 0, 0, 0, False))",,1.920497714,-100,138,382
"('M0M1_0.016_0.036_AAA_SRM_3', (10, 0, 0, 0, 0, False))",,5.757279985,-100,138,382
"('M0M1_0.016_0.036_ABA', (0, 0, 0, 0, 0, False))",,1.70638488,-100,276,299
"('M0M1_0.016_0.036_ABA', (10, 0, 0, 0, 0, False))",,5.000027576,-100,276,299
"('M0M1_0.016_0.036_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,1.587998333,-100,272,303
"('M0M1_0.016_0.036_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,5.127934435,-100,272,303
"('M0M1_0.016_0.036_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,1.587998333,-100,272,303
"('M0M1_0.016_0.036_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,5.127934435,-100,272,303
"('M0M1_0.016_0.036_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,1.587998333,-100,272,303
"('M0M1_0.016_0.036_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,5.127934435,-100,272,303
"('M0M1_0.016_0.036_BAB', (0, 0, 0, 0, 0, False))",,1.587064118,-100,166,299
"('M0M1_0.016_0.036_BAB', (10, 0, 0, 0, 0, False))",,6.044682151,-100,166,299
"('M0M1_0.016_0.036_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,2.209955172,-100,162,303
"('M0M1_0.016_0.036_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,5.604421168,-100,162,303
"('M0M1_0.016_0.036_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,2.209955172,-100,162,303
"('M0M1_0.016_0.036_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,5.604421168,-100,162,303
"('M0M1_0.016_0.036_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,2.209955172,-100,162,303
"('M0M1_0.016_0.036_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,5.604421168,-100,162,303
"('M0M1_0.016_0.036_BBB', (0, 0, 0, 0, 0, False))",,2.534885138,-100,204,316
"('M0M1_0.016_0.036_BBB', (10, 0, 0, 0, 0, False))",,5.818658217,-100,204,316
"('M0M1_0.016_0.036_BBB_SRM_1', (0, 0, 0, 0, 0, False))",,1.756081942,-100,198,322
"('M0M1_0.016_0.036_BBB_SRM_1', (10, 0, 0, 0, 0, False))",,6.074245568,-100,198,322
"('M0M1_0.016_0.036_BBB_SRM_2', (0, 0, 0, 0, 0, False))",,1.756081942,-100,198,322
"('M0M1_0.016_0.036_BBB_SRM_2', (10, 0, 0, 0, 0, False))",,6.074245568,-100,198,322
"('M0M1_0.016_0.036_BBB_SRM_3', (0, 0, 0, 0, 0, False))",,1.756081942,-100,198,322
"('M0M1_0.016_0.036_BBB_SRM_3', (10, 0, 0, 0, 0, False))",,6.074245568,-100,198,322
"('M0M1_0.016_0.0385_AAA', (0, 0, 0, 0, 0, False))",,1.825886894,-100,148,397
"('M0M1_0.016_0.0385_AAA', (10, 0, 0, 0, 0, False))",,5.186050252,-100,148,397
"('M0M1_0.016_0.0385_AAA_SRM_1', (0, 0, 0, 0, 0, False))",,1.572097052,-100,140,405
"('M0M1_0.016_0.0385_AAA_SRM_1', (10, 0, 0, 0, 0, False))",,4.822091727,-100,140,405
"('M0M1_0.016_0.0385_AAA_SRM_2', (0, 0, 0, 0, 0, False))",,1.572097052,-100,140,405
"('M0M1_0.016_0.0385_AAA_SRM_2', (10, 0, 0, 0, 0, False))",,4.822091727,-100,140,405
"('M0M1_0.016_0.0385_AAA_SRM_3', (0, 0, 0, 0, 0, False))",,1.572097052,-100,140,405
"('M0M1_0.016_0.0385_AAA_SRM_3', (10, 0, 0, 0, 0, False))",,4.822091727,-100,140,405
"('M0M1_0.016_0.0385_ABA', (0, 0, 0, 0, 0, False))",,1.729623842,-100,276,323
"('M0M1_0.016_0.0385_ABA', (10, 0, 0, 0, 0, False))",,5.20359173,-100,276,323
"('M0M1_0.016_0.0385_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,1.900873637,-100,272,328
"('M0M1_0.016_0.0385_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,4.572032205,-100,272,328
"('M0M1_0.016_0.0385_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,1.900873637,-100,272,328
"('M0M1_0.016_0.0385_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,4.572032205,-100,272,328
"('M0M1_0.016_0.0385_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,1.900873637,-100,272,328
"('M0M1_0.016_0.0385_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,4.572032205,-100,272,328
"('M0M1_0.016_0.0385_BAB', (0, 0, 0, 0, 0, False))",,2.460624872,-100,168,323
"('M0M1_0.016_0.0385_BAB', (10, 0, 0, 0, 0, False))",,6.074928176,-100,168,323
"('M0M1_0.016_0.0385_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,2.361975305,-100,162,328
"('M0M1_0.016_0.0385_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,6.066806089,-100,162,328
"('M0M1_0.016_0.0385_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,2.361975305,-100,162,328
"('M0M1_0.016_0.0385_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,6.066806089,-100,162,328
"('M0M1_0.016_0.0385_BAB_SRM_3', (0, 0, 0, 0, 0, False))",,2.361975305,-100,162,328
"('M0M1_0.016_0.0385_BAB_SRM_3', (10, 0, 0, 0, 0, False))",,6.066806089,-100,162,328
"('M0M1_0.016_0.0385_BBB', (0, 0, 0, 0, 0, False))",,2.871037127,-100,206,339
"('M0M1_0.016_0.0385_BBB', (10, 0, 0, 0, 0, False))",,6.193459896,-100,206,339
"('M0M1_0.016_0.0385_BBB_SRM_1', (0, 0, 0, 0, 0, False))",,2.284345551,-100,198,347
"('M0M1_0.016_0.0385_BBB_SRM_1', (10, 0, 0, 0, 0, False))",,4.598947335,-100,198,347
"('M0M1_0.016_0.0385_BBB_SRM_2', (0, 0, 0, 0, 0, False))",,2.284345551,-100,198,347
"('M0M1_0.016_0.0385_BBB_SRM_2', (10, 0, 0, 0, 0, False))",,4.598947335,-100,198,347
"('M0M1_0.016_0.0385_BBB_SRM_3', (0, 0, 0, 0, 0, False))",,2.284345551,-100,198,347
"('M0M1_0.016_0.0385_BBB_SRM_3', (10, 0, 0, 0, 0, False))",,4.598947335,-100,198,347
"('M0M1_0.016_0.038_AAA', (0, 0, 0, 0, 0, False))",,1.261385573,-100,148,392
"('M0M1_0.016_0.038_AAA', (10, 0, 0, 0, 0, False))",,5.695748225,-100,148,392
"('M0M1_0.016_0.038_AAA_SRM_1', (0, 0, 0, 0, 0, False))",,0.925847278,-100,140,400
"('M0M1_0.016_0.038_AAA_SRM_1', (10, 0, 0, 0, 0, False))",,5.339902036,-100,140,400
"('M0M1_0.016_0.038_AAA_SRM_2', (0, 0, 0, 0, 0, False))",,0.925847278,-100,140,400
"('M0M1_0.016_0.038_AAA_SRM_2', (10, 0, 0, 0, 0, False))",,5.339902036,-100,140,400
"('M0M1_0.016_0.038_AAA_SRM_3', (0, 0, 0, 0, 0, False))",,0.925847278,-100,140,400
"('M0M1_0.016_0.038_AAA_SRM_3', (10, 0, 0, 0, 0, False))",,5.339902036,-100,140,400
"('M0M1_0.016_0.038_ABA', (0, 0, 0, 0, 0, False))",,1.22626916,-100,276,318
"('M0M1_0.016_0.038_ABA', (10, 0, 0, 0, 0, False))",,4.592321755,-100,276,318
"('M0M1_0.016_0.038_ABA_SRM_1', (0, 0, 0, 0, 0, False))",,1.95485737,-100,272,323
"('M0M1_0.016_0.038_ABA_SRM_1', (10, 0, 0, 0, 0, False))",,4.307264788,-100,272,323
"('M0M1_0.016_0.038_ABA_SRM_2', (0, 0, 0, 0, 0, False))",,1.95485737,-100,272,323
"('M0M1_0.016_0.038_ABA_SRM_2', (10, 0, 0, 0, 0, False))",,4.307264788,-100,272,323
"('M0M1_0.016_0.038_ABA_SRM_3', (0, 0, 0, 0, 0, False))",,1.95485737,-100,272,323
"('M0M1_0.016_0.038_ABA_SRM_3', (10, 0, 0, 0, 0, False))",,4.307264788,-100,272,323
"('M0M1_0.016_0.038_BAB', (0, 0, 0, 0, 0, False))",,3.125417815,-100,168,318
"('M0M1_0.016_0.038_BAB', (10, 0, 0, 0, 0, False))",,6.271209102,-100,168,318
"('M0M1_0.016_0.038_BAB_SRM_1', (0, 0, 0, 0, 0, False))",,2.418396005,-100,162,323
"('M0M1_0.016_0.038_BAB_SRM_1', (10, 0, 0, 0, 0, False))",,5.685769189,-100,162,323
"('M0M1_0.016_0.038_BAB_SRM_2', (0, 0, 0, 0, 0, False))",,2.418396005,-100,162,323
"('M0M1_0.016_0.038_BAB_SRM_2', (10, 0, 0, 0, 0, False))",,5.685769189,-100,162,323
